Unnamed: 0,zipcode,household median,percent of household,family median,percent family,non-family median,percent non-family,weighted median,city,city rank,rank
23,15033,40437,28.0,55690,34.1,15179,17.1,32908.259,Donora,1.0,1526.0
24,15034,32770,35.2,53462,39.0,23985,32.0,40060.42,Dravosburg,1.0,1411.0
25,15035,50625,33.9,77841,26.0,35486,42.2,52375.627,East McKeesport,1.0,1024.0
26,15037,65261,33.2,76871,35.8,36422,26.6,58874.722,Elizabeth,1.0,790.0
27,15038,78125,39.3,78656,44.4,0,0.0,65626.38900000001,Elrama,1.0,587.0
28,15042,60671,35.1,69539,38.1,36294,24.9,56827.085999999996,Freedom,1.0,862.0
29,15043,75052,30.9,88846,30.4,42969,32.4,64122.208,Georgetown,1.0,634.0
30,15044,111809,30.5,129078,30.1,46222,32.1,87791.485,Gibsonia,1.0,189.0
31,15045,45716,38.0,51196,41.2,29506,33.1,48231.318,Glassport,1.0,1188.0
32,15046,65625,33.8,86983,36.0,39963,29.4,65244.252,Glenwillard,1.0,602.0
33,15049,47794,31.5,55192,32.0,35682,31.1,43813.652,Harwick,1.0,1313.0
34,15050,70700,44.5,80871,45.1,30521,41.8,80692.099,Hookstown,1.0,270.0
35,15051,59946,39.3,67222,25.0,41615,58.8,64833.898,Indianola,1.0,619.0
36,15052,58676,35.1,67545,35.3,37202,33.7,56975.735,Industry,1.0,853.0
37,15053,37000,16.0,42679,19.5,0,0.0,14242.405,Joffre,1.0,1650.0
