Zip_code,Total population,Population < 5 years,Population between 65 to 74 years,Population between 75 to 84 years,Population >= 85,Median age (years),city,total targeted population,city rank,rank
17886,1190,55,135,79,0,33.7,West Milton,269,1.0,1156.5
17887,656,32,0,0,0,28.7,White Deer,32,1.0,1618.5
17888,414,11,55,39,5,50.0,Wilburton,110,1.0,1364.0
17889,2609,137,330,166,24,43.1,Winfield,657,1.0,851.0
17901,22878,1156,2608,1123,1016,44.2,Pottsville,5903,1.0,143.5
17920,278,0,73,22,13,58.8,Ashland,108,2.0,1368.0
17921,7208,261,763,412,112,45.9,Ashland,1548,1.0,550.0
17922,5111,338,587,225,33,42.1,Auburn,1183,1.0,644.0
17923,327,5,20,21,0,45.6,Branchdale,46,1.0,1561.5
17925,294,25,48,14,0,39.4,Brockton,87,1.0,1419.0
17929,1350,69,158,70,52,40.3,Cressona,349,1.0,1080.0
17930,318,7,22,23,12,47.7,Cumbola,64,1.0,1492.0
17931,8728,168,715,350,187,40.3,Frackville,1420,1.0,579.0
17934,304,3,40,39,9,49.0,Gilberton,91,1.0,1409.5
17935,1464,54,148,40,69,42.8,Girardville,311,1.0,1116.5
17936,969,60,119,39,12,37.5,Gordon,230,1.0,1198.5
17938,2517,82,254,67,4,39.1,Hegins,407,1.0,1030.0
17941,774,44,46,71,34,41.4,Klingerstown,195,1.0,1234.5
17943,111,0,0,18,0,61.8,Ashland,18,4.0,1655.0
17944,149,2,21,1,0,35.2,Pottsville,24,3.0,1644.5
17945,135,6,3,13,8,47.2,Ashland,30,3.0,1626.0
17946,115,0,0,0,0,45.2,Girardville,0,2.0,1686.0
17948,4702,482,392,197,84,33.6,Mahanoy City,1155,1.0,657.0
17949,209,3,45,5,0,47.1,Mahanoy Plane,53,1.0,1530.5
17951,389,33,25,0,0,26.5,Pottsville,58,2.0,1514.0
17952,223,2,28,17,17,50.8,Tuscarora Township,64,2.0,1492.0
17953,371,17,44,29,5,50.3,Middleport,95,1.0,1395.5
17954,4393,326,405,290,96,45.1,Minersville,1117,1.0,672.0
17957,326,5,18,32,9,43.3,Muir,64,1.0,1492.0
17959,1395,73,175,66,5,43.3,New Philadelphia,319,1.0,1107.5
17960,4183,173,669,402,120,50.0,New Ringgold,1364,1.0,594.5
17961,6102,364,839,429,250,49.2,Orwigsburg,1882,1.0,492.0
17963,9073,249,1283,624,317,49.2,Pine Grove,2473,1.0,403.0
17964,819,62,96,42,47,44.7,Pitman,247,1.0,1186.0
17965,1890,147,254,109,56,45.9,Port Carbon,566,1.0,903.0
17967,2234,78,322,133,28,47.4,Ringtown,561,1.0,908.0
17968,210,16,26,8,3,37.5,Sacramento,53,1.0,1530.5
17970,3167,87,460,171,67,47.7,St. Clair,785,1.0,785.0
17972,10936,519,1385,1093,186,44.6,Schuylkill Haven,3183,1.0,317.0
17974,291,42,45,48,0,42.2,Seltzer,135,1.0,1319.5
17976,6787,382,577,310,347,39.3,Shenandoah,1616,1.0,535.0
17978,296,5,80,8,5,48.6,Spring Glen,98,1.0,1388.5
17979,118,0,10,0,0,61.4,Schuylkill Haven,10,2.0,1674.0
17980,2931,129,379,162,45,42.5,Tower City,715,1.0,819.5
17981,2669,82,285,170,118,45.3,Tremont,655,1.0,852.0
17982,502,8,79,82,19,55.7,Tuscarora Township,188,1.0,1243.5
17983,1343,31,114,62,59,36.7,Valley View,266,1.0,1162.5
17985,1232,37,143,80,40,49.1,Zion Grove,300,1.0,1131.0
18011,5458,397,437,197,36,37.0,Alburtis,1067,1.0,690.0
18013,18880,844,1922,1084,422,42.6,Bangor,4272,1.0,234.5
18014,11738,495,1184,829,469,43.7,Bath,2977,1.0,345.0
18015,32936,1899,2487,1226,725,31.2,Bethlehem,6337,3.0,126.0
18017,39705,2379,5383,2480,1644,44.0,Bethlehem,11886,1.0,16.0
18018,31240,1576,2645,1723,1025,39.4,Bethlehem,6969,2.0,98.0
18020,21196,1121,2150,863,817,42.7,Bethlehem,4951,4.0,188.0
18030,734,16,52,38,14,38.7,Palmerton,120,2.0,1348.0
18031,11354,695,831,359,376,38.0,Breinigsville,2261,1.0,434.0
18032,9422,604,747,454,231,39.9,Catasauqua,2036,1.0,464.0
18034,9396,398,911,313,189,41.5,Center Valley,1811,1.0,501.0
18036,14399,602,1971,734,370,47.8,Coopersburg,3677,1.0,276.0
18037,7577,297,880,358,145,45.4,Coplay,1680,1.0,524.0
18038,3562,83,397,62,233,48.3,Danielsville,775,1.0,789.0
18040,16790,691,2172,880,399,45.4,Easton,4142,3.0,242.0
18041,5429,392,824,276,27,42.8,East Greenville,1519,1.0,559.0
18042,42387,2105,3743,1536,755,36.7,Easton,8139,1.0,65.0
18045,26070,1214,3275,1925,864,47.3,Easton,7278,2.0,84.0
18049,17601,946,1881,825,437,43.5,Emmaus,4089,1.0,246.0
18051,3217,138,319,205,21,50.1,Fogelsville,683,1.0,839.0
18052,27896,1364,2907,1666,674,41.2,Whitehall Township,6611,1.0,117.0
18053,2248,79,234,107,89,46.3,Germansville,509,1.0,936.5
18054,4909,277,499,226,9,37.0,Green Lane,1011,1.0,703.0
18055,12000,525,1279,948,521,44.4,Hellertown,3273,1.0,308.0
18056,1510,18,104,49,5,27.7,Hereford Township,176,1.0,1266.5
18058,9615,465,1069,456,372,43.2,Effort,2362,1.0,421.0
18059,925,30,50,56,11,51.4,Laurys Station,147,1.0,1299.5
18062,26788,1385,3098,1524,849,44.2,Macungie,6856,1.0,104.0
18063,378,11,128,10,0,63.7,Martins Creek,149,1.0,1296.0
18064,25955,1493,2441,1570,1269,44.5,Nazareth,6773,1.0,108.0
18066,6143,467,578,180,132,43.2,New Tripoli,1357,1.0,599.0
