city,zip,no_of_competitors,rank_in_city,overall_rank
GILBERTSVILLE,19525.0,1,1.0,1.0
GIRARD,16417.0,1,1.0,1.0
GLEN-MILLS,19342.0,3,1.0,3.0
GLENOLDEN,19036.0,1,1.0,1.0
GLENSHAW,15116.0,1,1.0,1.0
GLENSIDE,19038.0,1,1.0,1.0
GREENCASTLE,17225.0,1,1.0,1.0
GREENSBURG,15601.0,4,1.0,4.0
GRINDSTONE,15442.0,1,1.0,1.0
HALIFAX,17032.0,1,1.0,1.0
HAMLIN,18427.0,1,1.0,1.0
HANOVER,17331.0,5,1.0,5.0
HARMONY,16037.0,1,1.0,1.0
HARRISBURG,17101.0,1,1.0,1.0
HARRISBURG,17104.0,2,2.0,2.0
HARRISBURG,17109.0,3,3.0,3.0
HARRISBURG,17110.0,3,3.0,3.0
HARRISBURG,17111.0,4,4.0,4.0
HARRISBURG,17112.0,3,3.0,3.0
HATBORO,19040.0,1,1.0,1.0
HATFIELD,19440.0,1,1.0,1.0
HAVERTOWN,19083.0,3,1.0,3.0
HAWLEY,18428.0,1,1.0,1.0
HAZLE-TOWNSHIP,18202.0,1,1.0,1.0
HAZLETON,18201.0,2,1.0,2.0
HELLERTOWN,18055.0,2,1.0,2.0
HERMITAGE,16148.0,1,1.0,1.0
HERSHEY,17033.0,2,1.0,2.0
HOMESTEAD,15120.0,1,1.0,1.0
HONESDALE,18431.0,2,1.0,2.0
HORSHAM,19044.0,1,1.0,1.0
HUMMELSTOWN,17036.0,1,1.0,1.0
HUNTINGDON VALLEY,19006.0,3,1.0,3.0
HUNTINGDON-VALLEY,19006.0,1,1.0,1.0
INDIANA,15701.0,2,1.0,2.0
JAMISON,18929.0,1,1.0,1.0
JENKINTOWN,19046.0,1,1.0,1.0
JERSEY-SHORE,17740.0,1,1.0,1.0
JOHNSONBURG,15845.0,1,1.0,1.0
JOHNSTOWN,15901.0,1,1.0,1.0
JOHNSTOWN,15902.0,1,1.0,1.0
JOHNSTOWN,15904.0,3,3.0,3.0
JOHNSTOWN,15905.0,2,2.0,2.0
KENNETT SQUARE,19348.0,1,1.0,1.0
KENNETT-SQUARE,19348.0,1,1.0,1.0
KING-OF-PRUSSIA,19406.0,2,1.0,2.0
KINGSTON,18704.0,1,1.0,1.0
KUTZTOWN,19530.0,1,1.0,1.0
LAKE ARIEL,18436.0,1,1.0,1.0
LANCASTER,17601.0,5,3.0,5.0
LANCASTER,17602.0,4,2.0,4.0
LANCASTER,17603.0,4,2.0,4.0
LANCASTER,17604.0,1,1.0,1.0
LANDENBERG,19350.0,1,1.0,1.0
LANDISVILLE,17538.0,1,1.0,1.0
LANGHORNE,19047.0,4,1.0,4.0
LANSDALE,19446.0,6,1.0,6.0
LANSDOWNE,19050.0,1,1.0,1.0
LANSFORD,18232.0,1,1.0,1.0
LATROBE,15650.0,3,1.0,3.0
