city,zipcode,population,young_population,old_population,income_median,no_of_competitors,weighted_scores,rank
Franklin,16323,15141,682,3619,37341.321,1.0,481.0,393.5
New Brighton,15066,12487,871,2614,42343.682,1.0,483.25,395.0
Bradford,16701,17072,901,3112,38789.873999999996,1.0,484.25,396.0
Philadelphia,19127,5610,274,309,91083.68,1.0,485.5,397.0
Milton,17847,11433,538,2207,47656.075999999994,1.0,489.75,398.0
Coudersport,16915,6099,252,1445,54985.152,1.0,490.0,399.0
Tamaqua,18252,10720,508,2190,47648.08900000001,1.0,492.0,400.0
Conneaut Lake,16316,4821,147,1095,60873.556,1.0,493.25,401.0
Manchester,17345,7737,536,1341,53357.275,2.0,494.75,402.0
Newport,17074,7220,353,1149,56788.334,1.0,498.0,403.0
Windber,15963,10103,463,2411,45333.072,1.0,498.25,404.5
Derry,15627,5955,202,1394,55335.748,1.0,498.25,404.5
Pittsburgh,15222,5468,34,560,85009.224,3.0,498.5,406.0
Oil City,16301,15044,665,3208,36391.741,2.0,499.25,407.0
Fayetteville,17222,10717,684,3039,37335.429,1.0,499.5,408.0
Sayre,18840,10756,565,1806,49020.515999999996,3.0,500.25,409.0
West Newton,15089,6476,263,1657,52253.445,1.0,501.0,410.0
Scranton,18508,12368,653,2392,42848.925,1.0,502.5,411.0
Scranton,18519,4997,284,926,59817.692,2.0,508.0,412.0
Harmony,16037,4558,253,891,61891.663,1.0,508.5,413.0
Lemoyne,17043,5503,490,657,60943.345,2.0,512.25,414.0
Everett,15537,8194,327,2173,46212.43,1.0,513.0,415.0
Pittsburgh,15232,12017,350,1196,54096.195,1.0,514.5,416.0
Susquehanna,18847,6011,482,1239,51942.0,1.0,517.0,417.0
Ford City,16226,7695,148,1773,50353.072,1.0,518.5,418.0
Brodheadsville,18322,3020,36,455,89814.85800000002,1.0,519.25,419.5
Walnutport,18088,8342,276,1667,50003.74400000001,1.0,519.25,419.5
Erie,16502,15818,974,2488,34420.068999999996,1.0,522.5,421.0
Nesquehoning,18240,3806,77,1027,60461.986,1.0,524.5,422.0
Philipsburg,16866,10362,336,2308,43554.179000000004,1.0,525.5,423.0
Pittsburgh,15223,6493,329,1269,51236.376,2.0,537.75,424.0
Delmont,15626,4854,120,1327,52749.62,1.0,540.5,425.0
Pittsburgh,15224,11079,386,1694,46104.93700000001,1.0,541.75,426.0
Corry,16407,10816,488,2478,36023.097,2.0,543.25,427.0
Charleroi,15022,9692,470,1889,42912.176,1.0,546.0,428.0
York,17401,16973,1395,1612,34126.57,1.0,546.75,429.5
Mifflinburg,17844,10504,677,1752,41623.81,1.0,546.75,429.5
Johnstown,15902,10905,536,2486,34049.282999999996,1.0,547.25,431.0
Shenandoah,17976,6787,382,1234,49865.59,1.0,547.75,432.0
Sharon,16146,13115,835,2249,32362.34,5.0,549.25,433.0
White Haven,18661,5055,178,1142,53359.042,1.0,551.25,434.0
Shoemakersville,19555,3344,169,638,63197.559,1.0,552.75,435.0
Mount Carmel,17851,7623,457,1668,44093.943,1.0,553.0,436.0
Portage,15946,6471,425,1713,43489.352,1.0,554.25,437.0
Turtle Creek,15145,6982,385,1459,47025.342000000004,1.0,554.75,438.0
Pittsburgh,15219,16101,878,1805,36605.442,1.0,558.25,439.0
Cresson,16630,4778,186,1014,53747.197,1.0,561.75,440.0
Mansfield,16933,6374,380,1373,46498.405,1.0,563.25,441.0
Rochester,15074,8190,467,1538,43988.842000000004,5.0,564.25,442.0
Pittsburgh,15213,27347,216,2536,33184.108,4.0,568.0,443.0
Roaring Spring,16673,5385,254,913,53648.415,1.0,570.0,444.0
Scottdale,15683,7680,211,1915,40956.48,1.0,571.0,445.0
Bentleyville,15314,3478,288,593,57957.02,1.0,575.75,446.0
Titusville,16354,10819,488,2181,31708.092,2.0,577.25,447.0
Erie,16503,15855,1256,1160,34659.83,1.0,581.0,448.0
Shamokin,17872,9413,665,1695,36127.534,2.0,581.25,449.0
Clarion,16214,10276,437,1431,41188.272000000004,1.0,592.75,450.0
Thorndale,19372,2042,101,424,67731.004,1.0,596.75,451.0
New Bethlehem,16242,4259,271,954,49357.77400000001,1.0,600.25,452.0
Midland,15059,4227,255,780,52287.705,1.0,606.75,453.5
Northern Cambria,15714,4509,262,864,50844.0,1.0,606.75,453.5
Sharpsville,16150,6760,314,1601,37360.873999999996,1.0,607.75,455.0
Pittsburgh,15203,10782,225,1082,46565.402,2.0,615.5,456.0
Kane,16735,5952,286,1400,38625.06,1.0,620.25,457.0
Fogelsville,18051,3217,138,545,57902.34400000001,1.0,624.0,458.0
Ridgway,15853,6379,302,1227,39341.645,1.0,636.0,459.0
Conway,15027,2287,105,575,56749.856,1.0,638.0,460.0
Blakeslee,18610,5247,271,908,45573.808,1.0,640.75,461.0
Erie,16507,9512,489,1187,33206.525,2.0,642.75,462.0
Glassport,15045,4338,314,664,48231.318,1.0,653.75,463.0
Port Allegany,16743,3898,198,654,49994.38200000001,1.0,657.0,464.0
Richeyville,15358,1058,67,171,82108.05900000001,1.0,658.0,465.0
Mount Union,17066,5284,340,987,38689.378,1.0,661.25,466.0
Johnsonburg,15845,2857,134,679,50450.413,1.0,663.0,467.0
Cresco,18326,3041,140,523,52849.904,1.0,675.0,468.0
Mahanoy City,17948,4702,482,673,40148.958,1.0,680.75,469.0
Farrell,16121,4632,341,999,31819.129,1.0,686.0,470.0
Emporium,15834,4107,179,1079,29685.952999999998,1.0,699.75,471.0
Pittsburgh,15233,3466,103,361,55270.154,1.0,715.25,472.0
Minersville,17954,4393,326,791,32694.871,1.0,718.0,473.0
Masontown,15461,4014,283,763,33603.587999999996,1.0,726.0,474.0
Nanty Glo,15943,3534,166,824,33837.337999999996,1.0,732.5,475.0
Lansford,18232,3761,404,552,34211.926,1.0,736.5,476.0
Wilkes-Barre,18701,3459,62,637,44990.545,1.0,737.75,477.0
California,15419,4333,99,773,33625.08,1.0,752.0,478.0
Allentown,18101,4738,385,361,37462.44,3.0,768.75,479.0
Johnstown,15901,3518,107,718,27582.766,1.0,777.75,480.0
Burnham,17009,1892,113,403,44129.049000000006,1.0,793.75,481.0
Grindstone,15442,2060,232,524,24493.959,1.0,800.75,482.0
Pocono Summit,18346,2322,93,274,49466.435999999994,1.0,817.5,483.0
Harrisburg,17101,2199,19,368,31135.271,1.0,909.75,484.0
Scranton,18503,1197,0,414,24483.793999999998,1.0,911.75,485.0
Erie,16501,1569,9,408,11273.073,1.0,924.5,486.0
Zieglersville,19492,456,0,387,19177.721999999998,1.0,931.25,487.0
Harleysville,19438,24812,1189,4367,89816.304,0.0,25120.75,488.0
Bethlehem,18020,21196,1121,3830,83162.967,0.0,25152.75,489.0
Telford,18969,14930,1013,2991,85503.927,0.0,25179.25,490.0
Lafayette Hill,19444,10855,572,2411,107228.17300000001,0.0,25189.0,491.0
Pittsburgh,15227,27774,1747,5036,67053.91900000001,0.0,25191.25,492.0
Bridgeville,15017,15363,811,3629,76231.33099999999,0.0,25195.75,493.0
Honey Brook,19344,12145,651,2659,88250.38900000002,0.0,25198.75,494.0
Philadelphia,19143,62927,4464,8883,59141.847,0.0,25199.25,495.0
Nether Providence Township,19086,12142,699,1983,106511.496,0.0,25209.25,496.0
Chambersburg,17202,30942,2054,5663,60712.7,0.0,25221.5,497.0
Garnet Valley,19060,11227,289,1937,139370.945,0.0,25225.0,498.0
Carlisle,17015,21898,1131,3974,66837.697,0.0,25226.75,499.0
Myerstown,17067,15111,956,3423,69926.55099999999,0.0,25233.5,500.0
Mountain Top,18707,15891,696,2658,75977.061,0.0,25237.5,501.5
Levittown,19055,13672,951,1907,84444.727,0.0,25237.5,501.5
Philadelphia,19141,34115,2136,5664,57326.823,0.0,25246.0,503.0
Haverford,19041,6277,121,1787,137475.997,0.0,25250.5,504.0
Annville,17003,12565,513,2640,75154.382,0.0,25252.5,505.0
Butler,16002,15509,794,3692,65644.75,0.0,25254.25,506.0
East Earl Township,17519,6859,589,1345,110182.897,0.0,25256.0,507.5
Saylorsburg,18353,12806,434,2344,79587.665,0.0,25256.0,507.5
Sellersville,18960,11484,388,2876,72404.049,0.0,25259.0,509.0
McDonald,15057,16834,1180,2539,69504.771,0.0,25259.25,510.5
Sarver,16055,8036,321,2146,84244.575,0.0,25259.25,510.5
Philadelphia,19153,12909,282,2118,85171.524,0.0,25260.25,512.0
Tobyhanna,18466,17531,1113,2230,71169.276,0.0,25266.25,513.5
Verona,15147,16693,968,4188,61089.914000000004,0.0,25266.25,513.5
Birdsboro,19508,15523,939,2743,68212.605,0.0,25268.5,515.5
Philadelphia,19135,36102,3165,3538,56956.03599999999,0.0,25268.5,515.5
Denver,17517,15974,917,2294,70871.27799999999,0.0,25273.0,517.0
Mohnton,19540,11342,777,1783,77415.322,0.0,25277.75,518.0
Fleetwood,19522,13531,499,2610,70796.729,0.0,25279.5,519.0
Drums,18222,9926,382,2052,78015.73,0.0,25281.75,520.0
Bernville,19506,7034,345,1398,97249.102,0.0,25282.25,521.0
Furlong,18925,6825,395,1144,132520.63199999998,0.0,25284.5,522.0
Philadelphia,19129,11408,931,1585,75319.33099999999,0.0,25289.0,523.0
Lincoln University,19352,11432,545,1031,103434.413,0.0,25291.75,524.0
Reinholds,17569,6422,802,887,94924.305,0.0,25292.0,525.0
Reading,19609,10066,655,1766,75156.041,0.0,25296.25,526.0
Effort,18058,9615,465,1897,76006.715,0.0,25296.75,527.0
York,17406,23326,1820,4083,55812.267,0.0,25297.0,528.0
Villanova,19085,8981,304,1056,224768.57,0.0,25298.5,529.5
Pittsburgh,15215,12637,661,2432,67716.667,0.0,25298.5,529.5
Oreland,19075,7600,547,1147,89652.038,0.0,25301.0,531.0
Venetia,15367,9559,477,1017,101456.76800000001,0.0,25304.0,532.0
Pittsburgh,15220,17401,1035,3161,60685.02,0.0,25304.75,533.5
Jonestown,17038,8553,445,1433,83206.649,0.0,25304.75,533.5
Merion Station,19066,5319,273,1091,130503.09199999999,0.0,25305.5,535.0
Wernersville,19565,8789,515,2378,67970.726,0.0,25309.5,536.0
Glenmoore,19343,7553,199,1374,92655.948,0.0,25310.0,537.0
Fort Washington,19034,6107,398,1247,88072.212,0.0,25310.75,538.0
Fairview,16415,9492,752,1897,70634.94,0.0,25311.25,539.0
Ligonier,15658,8936,237,2526,68829.351,0.0,25312.5,540.0
Elverson,19520,5889,287,1712,78204.378,0.0,25313.5,541.0
Devon,19333,6893,409,1229,84765.352,0.0,25320.75,542.5
Center Valley,18034,9396,398,1413,79666.431,0.0,25320.75,542.5
Valencia,16059,8278,545,1804,72018.46,0.0,25321.5,544.0
Harrisburg,17103,12495,1069,1111,73194.505,0.0,25321.75,545.0
Leola,17540,10773,964,1225,73053.70599999999,0.0,25322.0,546.0
Leechburg,15656,9717,577,2122,66956.914,0.0,25329.0,547.0
Gap,17527,5655,398,784,114415.595,0.0,25335.5,548.0
Cochranville,19330,5726,246,920,120836.355,0.0,25336.5,549.0
Port Matilda,16870,7576,525,835,90481.135,0.0,25339.0,550.0
Washington Crossing,18977,4395,175,955,138355.646,0.0,25340.0,551.0
Eighty Four,15330,5039,81,1523,79284.665,0.0,25340.5,552.0
Oakdale,15071,11595,582,1546,70313.954,0.0,25342.25,553.0
Biglerville,17307,6259,353,1270,78282.47099999999,0.0,25342.75,554.0
Gladwyne,19035,3936,174,917,199727.25,0.0,25343.75,555.0
Paradise,17562,4770,482,652,119986.133,0.0,25344.75,556.0
Stevens,17578,7667,358,1223,77937.437,0.0,25349.25,557.0
Duncansville,16635,12438,690,3206,56370.350999999995,0.0,25349.5,558.0
Narvon,17555,7760,864,862,74232.105,0.0,25351.25,559.0
Orwigsburg,17961,6102,364,1518,72089.06,0.0,25353.75,560.0
Lewisberry,17339,6766,314,1371,74507.299,0.0,25356.25,561.0
Waterford,16441,10069,438,1663,68217.299,0.0,25357.25,562.0
Peach Bottom,17563,4075,486,694,93363.81300000001,0.0,25358.25,563.0
Finleyville,15332,8616,378,1961,65384.320999999996,0.0,25361.75,564.0
Gordonville,17529,5100,489,656,94922.06800000001,0.0,25362.5,565.0
Perkiomenville,18074,5709,274,1051,82295.565,0.0,25365.25,566.0
Jim Thorpe,18229,9038,388,2080,63228.468,0.0,25365.75,567.0
Harveys Lake,18618,3684,185,868,102209.775,0.0,25366.75,568.0
Pittsburgh,15208,8916,429,2049,62909.322,0.0,25367.5,569.0
Dingmans Ferry,18328,7466,134,1348,76619.396,0.0,25368.25,570.0
New Providence,17560,5287,397,971,79321.86200000001,0.0,25368.75,571.5
Boalsburg,16827,4686,177,924,96771.56199999999,0.0,25368.75,571.5
Zionsville,18092,3617,118,918,99966.77699999999,0.0,25371.75,573.0
Wilkes-Barre,18705,14425,886,2811,54515.225,0.0,25372.25,574.0
Schuylkill Haven,17972,10936,519,2664,56842.698,0.0,25373.5,575.0
Gordonville,17572,3985,577,450,98590.272,0.0,25375.25,576.0
Dalton,18414,5461,284,1248,73703.608,0.0,25375.75,577.0
Barto,19504,4599,203,1072,80107.92599999999,0.0,25376.5,578.0
Freedom,15042,7951,441,2644,56827.085999999996,0.0,25380.25,579.0
Folcroft,19032,6629,752,714,74469.808,0.0,25380.5,580.0
Fredericksburg,17026,3981,324,524,155538.781,0.0,25381.0,581.0
Morton,19070,6625,307,1107,75075.73,0.0,25382.25,582.0
Hunlock Creek,18621,6261,246,1239,73091.25,0.0,25384.0,583.0
Erie,16511,11439,971,2206,55415.878,0.0,25387.5,584.0
Pine Grove,17963,9073,249,2224,60123.309,0.0,25390.25,585.0
North Versailles,15137,10215,450,2303,57746.187999999995,0.0,25392.0,586.0
Christiana,17509,5246,544,649,79387.78,0.0,25392.5,587.0
Pittsburgh,15209,12087,513,2477,55947.58,0.0,25394.5,588.0
Philadelphia,19140,52608,4279,7230,31385.002999999997,0.0,25394.75,589.0
Robesonia,19551,4524,188,778,91764.868,0.0,25396.25,590.0
Wyalusing,18853,4332,322,910,76016.558,0.0,25398.0,591.0
New Freedom,17349,7261,411,1546,63869.18700000001,0.0,25398.25,592.0
Baden,15005,9191,289,2534,56805.047999999995,0.0,25399.25,593.0
Houston,15342,4892,261,1147,71625.16,0.0,25401.75,594.0
Mohrsville,19541,4598,305,809,80748.508,0.0,25403.5,595.0
Auburn,17922,5111,338,845,76745.259,0.0,25405.0,596.5
Chicora,16025,5035,319,1082,71449.636,0.0,25405.0,596.5
East Berlin,17316,8391,332,1874,60196.832,0.0,25408.25,598.0
Upper Black Eddy,18972,3220,141,802,86686.305,0.0,25410.25,599.0
Pen Argyl,18072,6429,276,1197,69028.29,0.0,25411.25,600.0
Newmanstown,17073,6000,396,740,77993.66,0.0,25411.75,601.0
Marietta,17547,8068,598,1055,65266.1,0.0,25413.5,602.0
Pittsburgh,15214,14203,1019,2231,52180.144,0.0,25414.0,603.5
Sugarloaf,18249,3676,183,776,85074.146,0.0,25414.0,603.5
Oley,19547,4684,228,865,79233.13900000001,0.0,25414.5,605.5
Kempton,19529,4028,242,1525,63333.20400000001,0.0,25414.5,605.5
Imperial,15126,6805,465,762,72908.912,0.0,25415.0,607.0
Philadelphia,19137,8652,647,1042,64584.324,0.0,25415.75,608.0
Philadelphia,19132,29850,1728,4756,39661.127,0.0,25416.5,609.0
Burgettstown,15021,7093,264,1743,60908.732,0.0,25417.0,610.0
Slatington,18080,11498,803,2059,54450.477,0.0,25417.75,611.0
Glen Rock,17327,8318,415,1391,62874.212,0.0,25418.0,612.0
Seven Valleys,17360,7072,418,862,71371.887,0.0,25418.5,613.0
Renfrew,16053,4125,301,855,74784.003,0.0,25420.25,614.0
Lykens,17048,4530,459,643,76632.62700000001,0.0,25421.25,615.0
Claysville,15323,4265,265,741,79554.552,0.0,25423.25,616.0
Belleville,17004,5016,605,1013,64178.210999999996,0.0,25425.0,617.0
Norwood,19074,5957,148,711,87189.93699999999,0.0,25425.25,618.0
Mount Pocono,18344,3780,31,717,100474.906,0.0,25426.0,619.0
Jessup,18434,3772,308,632,79721.939,0.0,25431.5,620.0
Orefield,18069,8600,314,1346,62609.2,0.0,25432.75,621.0
Kintnersville,18930,2454,103,565,119998.01400000001,0.0,25434.0,622.5
Philadelphia,19121,31664,2015,2948,41637.529,0.0,25434.0,622.5
Kirkwood,17536,3361,243,645,80900.834,0.0,25436.25,624.0
Lebanon,17016,1352,138,578,97572.42,0.0,25436.5,625.0
Athens,18810,5707,303,1424,60836.785,0.0,25437.5,626.0
New Tripoli,18066,6143,467,890,66944.714,0.0,25438.75,627.0
Millersville,17551,11011,479,1674,56571.412000000004,0.0,25440.5,628.0
Grantville,17028,3982,136,576,96252.704,0.0,25442.0,629.5
Kinzers,17535,2912,297,327,124716.87199999999,0.0,25442.0,629.5
Dauphin,17018,4299,288,933,67971.902,0.0,25446.25,631.0
Newville,17241,11877,634,2122,51990.17,0.0,25446.5,632.0
New Milford,18834,3508,146,752,77739.44,0.0,25449.0,633.0
McKeesport,15133,6173,349,1253,61197.498,0.0,25449.5,634.5
Clinton,15026,3324,221,468,96450.244,0.0,25449.5,634.5
Fairfield,17320,7956,537,1439,57035.859000000004,0.0,25450.0,636.0
Bath,18014,11738,495,2482,50049.879,0.0,25450.5,637.0
Harrison City,15636,4658,170,564,87034.9,0.0,25455.0,638.0
Riegelsville,18077,2279,47,561,105801.325,0.0,25455.75,639.5
Richland,17087,2884,172,548,87276.98,0.0,25455.75,639.5
Scranton,18510,13534,677,2130,50791.403,0.0,25456.5,641.5
Elysburg,17824,3758,86,881,73495.63799999999,0.0,25456.5,641.5
Bethel,19507,3358,173,447,100974.01,0.0,25457.0,643.0
Long Pond,18334,4471,195,897,70596.705,0.0,25459.0,644.0
Taylor,18517,4807,164,1301,62196.959,0.0,25459.75,645.0
East Petersburg,17520,4688,148,971,69454.119,0.0,25460.0,646.0
Meshoppen,18630,3086,160,618,80652.325,0.0,25461.0,647.0
Duryea,18642,3862,94,1081,67200.951,0.0,25461.5,648.0
Brookville,15825,9229,415,1983,52483.927,0.0,25461.75,649.0
Felton,17322,6191,323,753,70461.55099999999,0.0,25462.25,650.0
Harrisville,16038,3656,217,690,73298.057,0.0,25465.0,651.0
Factoryville,18419,4632,234,944,66692.807,0.0,25465.25,652.0
Weatherly,18255,4411,127,1041,66698.293,0.0,25466.0,653.0
East Greenville,18041,5429,392,1127,60308.426,0.0,25467.0,654.0
Mercersburg,17236,8084,501,1523,54699.78599999999,0.0,25467.25,656.0
Harrisburg,17102,7531,262,1130,62246.128,0.0,25467.25,656.0
New Stanton,15672,3343,138,842,71385.64,0.0,25467.25,656.0
Marysville,17053,5135,127,898,70061.128,0.0,25469.5,658.0
Gouldsboro,18424,5148,134,1022,66581.02799999999,0.0,25470.25,659.0
Damascus,18415,1491,45,528,101250.759,0.0,25471.25,660.0
Catasauqua,18032,9422,604,1432,53822.49400000001,0.0,25472.75,661.0
Littlestown,17340,11024,480,2058,50400.50700000001,0.0,25473.25,662.0
Catawissa,17820,5405,254,1247,59438.596,0.0,25474.5,663.0
Howard,16841,6366,308,1102,60772.5,0.0,25475.0,664.0
Forest City,18421,4289,232,955,64889.442,0.0,25475.5,665.0
Moosic,18507,5159,213,877,67883.829,0.0,25476.0,666.0
York Haven,17370,5423,174,766,70979.107,0.0,25476.5,667.5
West Sunbury,16061,2975,135,491,88707.317,0.0,25476.5,667.5
Thornton,19373,4389,173,328,137384.01,0.0,25478.25,669.0
Green Lane,18054,4909,277,734,68658.856,0.0,25479.25,670.0
Martinsburg,16662,5967,358,1512,54934.712999999996,0.0,25480.25,671.5
Mount Wolf,17347,6577,368,1028,60611.670999999995,0.0,25480.25,671.5
Atglen,19310,3207,399,279,82259.276,0.0,25483.5,673.0
Cambridge Springs,16403,7278,433,1004,59132.41,0.0,25484.25,674.0
Gwynedd,19436,722,19,470,131200.896,0.0,25485.0,675.0
Tarentum,15084,10034,655,2216,47022.902,0.0,25485.5,676.0
Orrtanna,17353,3413,181,534,78055.518,0.0,25487.5,677.0
Jermyn,18433,6128,295,1113,59072.269,0.0,25487.75,678.0
Akron,17501,4450,257,958,62136.982,0.0,25490.0,679.0
Vandergrift,15690,8977,503,1927,49364.467000000004,0.0,25490.25,680.0
Matamoras,18336,3800,110,1036,63248.56200000001,0.0,25493.5,681.5
Nescopeck,18635,3790,254,857,64300.707,0.0,25493.5,681.5
Russell,16345,3436,129,876,66327.945,0.0,25495.75,683.0
Wapwallopen,18660,3645,114,679,72180.977,0.0,25496.5,684.0
Acme,15610,4016,170,852,65385.238,0.0,25498.5,685.0
Landisburg,17040,2328,136,420,89561.211,0.0,25499.0,686.0
Mount Bethel,18343,4010,153,685,70164.557,0.0,25500.5,687.5
Mill Hall,17751,7267,430,1454,52456.879,0.0,25500.5,687.5
Pocono Lake,18347,2932,46,1031,64242.32900000001,0.0,25501.25,689.0
Delta,17314,6085,332,1073,57279.012,0.0,25502.75,690.0
Philadelphia,19133,26705,1425,2840,31475.126,0.0,25503.0,691.0
Conestoga Township,17516,4875,109,702,70685.085,0.0,25503.75,692.5
Worthington,16262,2794,85,618,75296.031,0.0,25503.75,692.5
Mountville,17554,7214,559,1151,53278.727999999996,0.0,25504.0,694.0
New Bloomfield,17068,4391,208,856,63883.967000000004,0.0,25504.5,695.0
Washington Boro,17582,2022,85,433,91347.416,0.0,25505.25,696.0
Mertztown,19539,4740,309,887,60162.02400000001,0.0,25507.75,697.0
Jacobus,17407,3070,218,443,76266.782,0.0,25508.75,698.0
Nicholson,18446,3048,96,810,66493.703,0.0,25509.0,699.0
Gillett,16925,3407,293,703,64278.636,0.0,25509.75,700.0
Beach Lake,18405,2712,109,563,75732.16,0.0,25510.0,701.0
Strasburg,17579,6320,517,1177,52773.942,0.0,25510.25,702.0
Holtwood,17532,3287,310,455,71201.982,0.0,25510.75,703.0
Glenville,17329,2554,71,509,81527.003,0.0,25511.0,704.0
Peckville,18452,4909,164,1752,51228.722,0.0,25511.25,705.0
Canadensis,18325,2684,185,344,86150.37,0.0,25512.25,706.0
Union City,16438,7588,339,1709,49626.95400000001,0.0,25512.5,707.0
Airville,17302,2566,89,516,79026.98,0.0,25512.75,708.0
Avella,15312,4009,281,618,65931.642,0.0,25513.0,709.0
Middleburg,17842,8817,510,1604,49142.606,0.0,25514.5,710.0
Centre Hall,16828,4603,252,1307,53817.723,0.0,25515.5,711.0
Wattsburg,16442,3334,220,549,69959.82400000001,0.0,25516.25,712.0
Breinigsville,18031,11354,695,1566,47800.785,0.0,25516.5,713.0
Springville Township,18844,1944,79,493,80078.224,0.0,25519.25,714.0
Van Voorhis,15366,478,0,399,179385.33,0.0,25520.0,715.0
New Albany,18833,1902,54,486,82768.369,0.0,25520.25,716.0
Pittston,18641,7010,180,1458,52454.775,0.0,25520.5,717.0
Windsor,17366,5974,337,856,58376.584,0.0,25521.0,718.5
Mifflintown,17059,7889,448,1784,47507.957,0.0,25521.0,718.5
New Alexandria,15670,3215,110,711,67635.09,0.0,25521.25,720.0
Waymart,18472,7203,231,1114,56313.959,0.0,25521.5,721.0
Thomasville,17364,3699,172,605,68540.29400000001,0.0,25522.5,722.0
New Eagle,15067,2532,136,632,69003.163,0.0,25523.0,723.0
Elliottsburg,17024,1951,95,406,85132.463,0.0,25525.25,724.0
Greentown,18426,4091,182,1114,56336.63,0.0,25525.75,725.0
Evans City,16033,6425,277,940,57037.958,0.0,25527.0,726.0
Hegins,17938,2517,82,325,116313.305,0.0,25527.5,727.0
Saegertown,16433,5193,376,913,56205.185999999994,0.0,25528.25,728.0
Albrightsville,18210,7504,456,1525,48768.125,0.0,25528.75,729.0
McKeesport,15135,5004,150,987,58956.334,0.0,25529.5,730.0
Smithton,15479,2151,158,464,73958.49900000001,0.0,25530.75,731.0
Abbottstown,17301,4462,239,727,62201.307,0.0,25531.5,732.0
Laceyville,18623,2559,120,485,74601.048,0.0,25532.25,733.0
Hookstown,15050,2690,80,438,80692.099,0.0,25533.0,734.0
Millerstown,17062,4289,211,739,62216.277,0.0,25533.5,735.5
Falls Township,18615,1966,61,483,78579.33099999999,0.0,25533.5,735.5
Silver Lake Township,18812,1640,25,420,92681.994,0.0,25534.25,737.0
Union Dale,18470,1976,63,478,78613.836,0.0,25534.5,738.0
Meyersdale,15552,5772,327,1249,51677.481,0.0,25535.0,739.0
New Ringgold,17960,4183,173,1191,54126.218,0.0,25535.25,740.0
Saltsburg,15681,4773,260,1008,55285.278,0.0,25537.0,741.0
Watsontown,17777,7163,465,1501,47857.733,0.0,25537.5,742.0
Freeport,16229,5203,162,936,58753.20200000001,0.0,25538.25,743.0
Wrightsville,17368,6198,312,1139,52663.221,0.0,25540.5,744.0
Red Hill,18076,2931,125,620,67397.333,0.0,25541.25,745.0
Reeders,18352,940,0,469,83525.541,0.0,25541.75,746.0
Saxonburg,16056,4403,203,1176,53418.597,0.0,25542.25,747.0
Sweet Valley,18656,2472,53,498,76043.536,0.0,25542.75,748.0
Troy,16947,4531,187,1215,52971.818,0.0,25543.0,749.0
Benton,17814,4604,174,1061,54792.445,0.0,25545.75,751.0
Dunbar,15431,4167,306,793,57737.519,0.0,25545.75,751.0
Cabot,16023,4462,137,1426,50802.416,0.0,25545.75,751.0
West Middlesex,16159,4885,138,1347,51585.996,0.0,25546.75,754.0
Bradfordwoods,15015,1267,108,277,100985.087,0.0,25546.75,754.0
Yeagertown,17099,1133,28,548,73747.644,0.0,25546.75,754.0
Youngwood,15697,2867,94,533,70160.031,0.0,25550.75,756.5
Linesville,16424,4641,254,1183,51839.152,0.0,25550.75,756.5
Shelocta,15774,2769,63,522,72145.87599999999,0.0,25551.0,758.0
New Florence,15944,2971,246,635,61388.682,0.0,25551.5,759.0
Braddock,15104,8492,415,1604,45267.558,0.0,25552.0,760.0
Morrisdale,16858,3538,170,953,56653.318,0.0,25552.25,761.0
Coal Run,17866,10190,443,1835,42060.359000000004,0.0,25553.75,762.0
Alburtis,18011,5458,397,670,57384.752,0.0,25554.5,763.0
Port Royal,17082,3233,191,608,62889.003,0.0,25556.25,764.0
Vanderbilt,15486,2206,116,412,74182.408,0.0,25558.75,765.0
Rome,18837,2899,179,516,66650.80900000001,0.0,25559.25,766.0
Cranesville,16410,2087,78,325,89492.45,0.0,25560.0,767.0
Farmington,15437,2861,196,305,75494.166,0.0,25560.25,768.0
East Freedom,16637,2323,27,672,66038.976,0.0,25561.25,770.0
East Pittsburgh,15112,3073,284,411,66219.387,0.0,25561.25,770.0
Pequea,17565,2297,165,275,82094.711,0.0,25561.25,770.0
Marion Center,15759,2848,159,603,63283.236,0.0,25562.25,772.0
Conneautville,16406,3294,294,752,56778.84099999999,0.0,25563.0,773.0
Reedsville,17084,4580,324,876,53561.318,0.0,25563.25,774.5
Dallastown,17313,11269,721,1806,37108.609,0.0,25563.25,774.5
Milroy,17063,3221,231,521,63519.70400000001,0.0,25563.5,776.0
Ringtown,17967,2234,78,483,71623.74,0.0,25564.25,777.0
Orangeville,17859,2890,139,776,58255.085999999996,0.0,25565.0,778.0
Edinburg,16116,2854,172,869,56524.483,0.0,25565.75,779.0
New Columbia,17856,3094,79,542,67909.37,0.0,25566.75,780.0
McKean,16426,3389,159,865,56690.552,0.0,25567.0,781.0
Presto,15142,957,0,296,201250.0,0.0,25568.0,782.0
Patton,16668,3381,234,656,58687.78400000001,0.0,25568.5,783.0
Lake City,16423,4018,210,751,57270.693,0.0,25569.5,784.0
Reynoldsville,15851,6478,512,1000,49091.273,0.0,25570.0,785.5
Hughesville,17737,6596,247,1283,48674.944,0.0,25570.0,785.5
Conyngham,18219,1340,37,348,88275.546,0.0,25570.25,787.0
Turbotville,17772,2333,116,640,62467.549000000006,0.0,25571.25,788.0
Prospect,16052,2544,61,573,66578.991,0.0,25571.5,789.5
Warriors Mark,16877,2244,136,445,69099.15299999999,0.0,25571.5,789.5
