city,zipcode,population,young_population,old_population,income_median,no_of_competitors,weighted_scores,rank
Clarks Summit,18411,21312,1092,5000,75180.946,2.0,157.25,89.5
Bethel Park,15102,29419,1541,6684,69644.465,11.0,157.25,89.5
Lebanon,17042,36949,2217,7630,66815.277,1.0,158.0,91.0
Gilbertsville,19525,17148,1280,2161,121552.714,1.0,159.0,92.0
Richboro,18954,11456,388,4192,85128.052,8.0,161.5,93.0
Bristol,19007,21443,1540,3338,80879.425,2.0,163.0,94.0
Reading,19607,22985,1256,4621,75432.548,4.0,163.5,95.0
Dallas,18612,18761,583,3671,88974.323,5.0,164.5,96.0
Irwin,15642,44333,2253,8426,65095.708,1.0,166.25,97.0
Plymouth Meeting,19462,15203,978,2886,93604.834,2.0,166.5,98.5
Pittsburgh,15238,12358,630,3041,98035.272,2.0,166.5,98.5
Pittsburgh,15228,17508,670,3020,96970.339,1.0,166.75,100.0
Pittsburgh,15236,28499,1609,6570,67091.312,4.0,170.75,101.5
Philadelphia,19136,34962,2598,4401,69816.164,1.0,170.75,101.5
Upper Darby,19082,42670,2911,3965,70157.55099999999,2.0,171.25,103.0
Levittown,19057,17240,1098,2346,100469.076,3.0,172.0,104.0
Stroudsburg,18360,27759,1080,5945,69072.08099999999,6.0,174.75,105.0
Manheim,17545,22174,1277,4290,74003.05900000001,1.0,175.5,106.0
Easton,18042,42387,2105,6034,66612.79400000001,3.0,175.75,107.0
Lebanon,17046,31587,1863,5370,67970.483,1.0,176.25,108.0
Elkins Park,19027,19216,671,3668,82600.366,4.0,176.75,109.0
New Holland,17557,14860,1155,3962,75118.076,1.0,178.0,110.0
Pittsburgh,15217,27566,1519,5238,69483.842,3.0,179.5,111.0
Camp Hill,17011,37718,1809,6848,65272.535,2.0,180.0,112.0
Pottstown,19465,17750,863,3002,87260.536,2.0,180.25,113.0
Philadelphia,19116,33976,1757,7151,64910.539000000004,5.0,182.25,114.0
Ephrata,17522,34400,2336,6342,64692.56200000001,1.0,184.25,115.0
Drexel Hill,19026,30357,2226,4276,69701.49799999999,4.0,184.5,116.0
Allentown,18104,44217,2469,8827,61991.883,5.0,187.25,117.5
Harrisburg,17109,24726,1796,3949,71456.357,3.0,187.25,117.5
Philadelphia,19125,25705,1781,2277,81783.106,1.0,188.5,119.0
Philadelphia,19123,17793,965,2071,101984.492,2.0,190.25,121.0
Levittown,19054,17040,961,2197,97325.112,2.0,190.25,121.0
York,17402,38026,2060,7209,63072.636,7.0,190.25,121.0
Lancaster,17602,50660,2798,8150,61731.802,4.0,191.5,123.0
Philadelphia,19111,67159,4899,10956,59526.87,2.0,193.0,124.0
Souderton,18964,14307,1111,2529,85838.689,4.0,193.25,125.0
Bala Cynwyd,19004,9246,476,2393,107892.06199999999,2.0,197.75,126.0
Pittsburgh,15235,34339,1960,6779,62514.867999999995,1.0,198.75,127.0
Palmyra,17078,22071,1363,4010,70242.06,2.0,201.0,128.0
Philadelphia,19152,37436,2929,6396,61497.578,2.0,201.75,129.0
Norristown,19401,41287,3247,5763,62028.997,6.0,202.0,130.0
Douglassville,19518,15619,841,2709,84274.382,2.0,202.75,131.5
Brookhaven,19015,16647,1028,2431,85128.935,4.0,202.75,131.5
